study_tag	study_accession	reported_trait	cohorts	imputation_panel	variant_count	ftp_path
EST_Acetate	GCST90449363	Acetate	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449363/GCST90449363.tsv.gz
EST_Acetoacetate	GCST90449364	Acetoacetate	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449364/GCST90449364.tsv.gz
EST_Acetone	GCST90449365	Acetone	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449365/GCST90449365.tsv.gz
EST_Ala	GCST90449366	Alanine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449366/GCST90449366.tsv.gz
EST_Albumin	GCST90449367	Albumin	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449367/GCST90449367.tsv.gz
EST_ApoA1	GCST90449368	Apolipoprotein A1	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449368/GCST90449368.tsv.gz
EST_ApoB_by_ApoA1	GCST90449369	Ratio of apolipoprotein B to apolipoprotein A1	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449369/GCST90449369.tsv.gz
EST_ApoB	GCST90449370	Apolipoprotein B	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449370/GCST90449370.tsv.gz
EST_bOHbutyrate	GCST90449371	3-Hydroxybutyrate	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449371/GCST90449371.tsv.gz
EST_Cholines	GCST90449372	Total cholines	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449372/GCST90449372.tsv.gz
EST_Citrate	GCST90449373	Citrate	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449373/GCST90449373.tsv.gz
EST_Clinical_LDL_C	GCST90449374	Clinical LDL cholesterol	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449374/GCST90449374.tsv.gz
EST_Creatinine	GCST90449375	Creatinine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449375/GCST90449375.tsv.gz
EST_DHA_pct	GCST90449376	Ratio of docosahexaenoic acid to total fatty acids	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449376/GCST90449376.tsv.gz
EST_DHA	GCST90449377	Docosahexaenoic acid	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449377/GCST90449377.tsv.gz
EST_Gln	GCST90449378	Glutamine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449378/GCST90449378.tsv.gz
EST_Glucose	GCST90449379	Glucose	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449379/GCST90449379.tsv.gz
EST_GlycA	GCST90449380	Glycoprotein acetyls	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449380/GCST90449380.tsv.gz
EST_Gly	GCST90449381	Glycine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449381/GCST90449381.tsv.gz
EST_HDL_CE	GCST90449382	Cholesteryl esters in HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449382/GCST90449382.tsv.gz
EST_HDL_C	GCST90449383	HDL cholesterol	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449383/GCST90449383.tsv.gz
EST_HDL_FC	GCST90449384	Free cholesterol in HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449384/GCST90449384.tsv.gz
EST_HDL_L	GCST90449385	Total lipids in HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449385/GCST90449385.tsv.gz
EST_HDL_PL	GCST90449386	Phospholipids in HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449386/GCST90449386.tsv.gz
